70
1	0.300
2	0.300
3	0.300
4	0.300
5	0.300
6	0.300
7	0.300
8	0.300
9	0.300
10	0.300
11	0.300
12	0.300
13	0.300
14	0.300
15	0.300
16	0.300
17	0.300
18	0.300
19	0.300
20	0.300
21	0.300
22	0.300
23	0.300
24	0.300
25	0.300
26	0.300
27	0.300
28	0.300
29	0.300
30	0.300
31	0.300
32	0.300
33	0.300
34	0.300
35	0.300
36	0.300
37	0.300
38	0.300
39	0.300
40	0.300
41	0.300
42	0.300
43	0.300
44	0.300
45	0.300
46	0.300
47	0.300
48	0.300
49	0.300
50	0.300
51	0.300
52	0.300
53	0.300
54	0.300
55	0.300
56	0.300
57	0.300
58	0.300
59	0.300
60	0.300
61	0.300
62	0.300
63	0.300
64	0.300
65	0.300
66	0.300
67	0.300
68	0.300
69	0.300
70	0.300
